model,underlying_name,term,coef,std_err,t,p_value,nobs,r2
lob,pooled,Intercept,-4478.544604109331,1463.9627436692329,-3.0591930180439153,0.0022193410961391514,467,0.34358431437996584
lob,pooled,no_trade[T.True],2846.7953154392753,371.73635773214374,7.6581029975296255,1.886995298462775e-14,467,0.34358431437996584
lob,pooled,rel_spread,-148.0071050187893,305.91400413879717,-0.48381931855475485,0.628514103526124,467,0.34358431437996584
lob,pooled,log_depth_total,242.2510129063319,121.65980423187708,1.991216527396464,0.04645708762687969,467,0.34358431437996584
lob,pooled,moneyness,2694.9808584045586,577.361282975702,4.667754728052964,3.045091034355072e-06,467,0.34358431437996584
lob,pooled,T,1926.5795638719317,874.9576838614245,2.2019117031687934,0.027671546147491163,467,0.34358431437996584
lob,pooled,realized_vol_21,-858.758356150848,1711.4776401232039,-0.5017642860289012,0.615833337998186,467,0.34358431437996584
